,index,HA,workplace_name,workplace_address,city,date_cluster_confirmed_public_health,date_cluster_no_longer_active,earliest_reported_cases,latest_reported_cases,workplace_classification,cases_when_cluster_confirmed,total_cases,workplace_status,closure_y_n,closed_by_order,voluntary_closure,closure_date,partially_closed,open,days_since_last_case,cluster_confirmed_epidate,cluster_closed_epidate,doc_page_number,blank0,blank1,blank2,file,active_clusters,unknown_closure_type
0,1,FHA,,,SURREY,4/1/2021,4/17/2021,,,"Restaurant/Bar/Lounge",3,3,,No,No,Unknown,,No,No,,13-2021,,1,,,,F22-1445 Records_Part1.pdf,,
1,2,FHA,,,LANGLEY,4/1/2021,4/13/2021,,,Other,8,8,,No,No,Unknown,,No,No,,13-2021,,1,,,,F22-1445 Records_Part1.pdf,,
2,3,FHA,,,SURREY,4/1/2021,4/13/2021,,,"Restaurant/Bar/Lounge",4,4,Closed,Yes,Yes,Unknown,4/4/2021,No,No,,13-2021,14-2021,1,,,,F22-1445 Records_Part1.pdf,,
3,4,FHA,,,BURNABY,4/1/2021,4/21/2021,,,Gym/Fitness,12,12,Closed,Yes,Yes,Unknown,4/7/2021,No,No,,13-2021,14-2021,1,,,,F22-1445 Records_Part1.pdf,,
4,5,FHA,,,BURNABY,4/1/2021,4/14/2021,,,"Restaurant/Bar/Lounge",5,5,Closed,Yes,Yes,Unknown,4/5/2021,No,No,,13-2021,14-2021,1,,,,F22-1445 Records_Part1.pdf,,
5,6,FHA,,,CHILLIWACK,4/1/2021,4/17/2021,,,"Maintenance/Trades/Construction",4,4,,No,No,Unknown,,No,No,,13-2021,,1,,,,F22-1445 Records_Part1.pdf,,
6,7,FHA,,,COQUITLAM,4/1/2021,4/14/2021,,,Office,4,4,,No,No,Unknown,,No,No,,13-2021,,1,,,,F22-1445 Records_Part1.pdf,,
7,8,FHA,,,DELTA,4/1/2021,4/6/2021,,,Transportation,4,4,,No,No,Unknown,,No,No,,13-2021,,1,,,,F22-1445 Records_Part1.pdf,,
8,9,FHA,,,LANGLEY,4/1/2021,4/30/2021,,,Farm/Agriculture,50,50,,No,No,Unknown,,No,No,,13-2021,,1,,,,F22-1445 Records_Part1.pdf,,
9,10,FHA,,,LANGLEY,4/1/2021,,,,Warehouse,26,26,,No,No,Unknown,,No,No,,13-2021,,1,,,,F22-1445 Records_Part1.pdf,,
10,11,FHA,,,MAPLE RIDGE,4/1/2021,4/18/2021,,,"Restaurant/Bar/Lounge",16,16,Closed,Yes,Yes,Unknown,4/6/2021,No,No,,13-2021,14-2021,1,,,,F22-1445 Records_Part1.pdf,,
11,12,FHA,,,MISSION,4/1/2021,4/19/2021,,,"Restaurant/Bar/Lounge",4,4,Closed,Yes,Yes,Unknown,4/1/2021,No,No,,13-2021,13-2021,1,,,,F22-1445 Records_Part1.pdf,,
12,13,FHA,,,SURREY,4/1/2021,4/23/2021,,,Gym/Fitness,7,7,,No,No,Unknown,,No,No,,13-2021,,1,,,,F22-1445 Records_Part1.pdf,,
13,14,FHA,,,SURREY,4/1/2021,4/14/2021,,,Office,3,3,Closed,Yes,Yes,Unknown,4/3/2021,No,No,,13-2021,13-2021,1,,,,F22-1445 Records_Part1.pdf,,
14,15,FHA,,,SURREY,4/1/2021,4/22/2021,,,"Restaurant/Bar/Lounge",9,9,Closed,Yes,Yes,Unknown,4/12/2021,No,No,,13-2021,15-2021,1,,,,F22-1445 Records_Part1.pdf,,
15,16,FHA,,,ABBOTSFORD,4/2/2021,4/19/2021,,,Gym/Fitness,12,12,Closed,Yes,Yes,Unknown,4/3/2021,No,No,,13-2021,13-2021,1,,,,F22-1445 Records_Part1.pdf,,
16,17,FHA,,,LANGLEY,4/2/2021,4/24/2021,,,Personal Care,4,4,,No,No,Unknown,,No,No,,13-2021,,2,,,,F22-1445 Records_Part1.pdf,,
17,18,FHA,,,BURNABY,4/2/2021,4/16/2021,,,Food Processing,6,6,Closed,Yes,Yes,Unknown,4/5/2021,No,No,,13-2021,14-2021,2,,,,F22-1445 Records_Part1.pdf,,
18,19,FHA,,,COQUITLAM,4/2/2021,4/7/2021,,,Other,5,5,,No,No,Unknown,,No,No,,13-2021,,2,,,,F22-1445 Records_Part1.pdf,,
19,20,FHA,,,DELTA,4/2/2021,4/10/2021,,,Office,3,3,,No,No,Unknown,,No,No,,13-2021,,2,,,,F22-1445 Records_Part1.pdf,,
20,21,FHA,,,LANGLEY,4/2/2021,4/5/2021,,,Retail,4,4,,No,No,Unknown,,No,No,,13-2021,,2,,,,F22-1445 Records_Part1.pdf,,
21,22,FHA,,,LANGLEY,4/2/2021,4/17/2021,,,Farm/Agriculture,5,5,,No,No,Unknown,,No,No,,13-2021,,2,,,,F22-1445 Records_Part1.pdf,,
22,23,FHA,,,"PORTCOQUITLAM",4/2/2021,4/18/2021,,,First Responder,3,3,,No,No,Unknown,,No,No,,13-2021,,2,,,,F22-1445 Records_Part1.pdf,,
23,24,FHA,,,SURREY,4/2/2021,4/18/2021,,,Retail,5,5,,No,No,Unknown,,No,No,,13-2021,,2,,,,F22-1445 Records_Part1.pdf,,
24,25,FHA,,,SURREY,4/2/2021,4/28/2021,,,"Manufacturing/Industry",4,4,,No,No,Unknown,,No,No,,13-2021,,2,,,,F22-1445 Records_Part1.pdf,,
25,26,FHA,,,BURNABY,4/4/2021,4/22/2021,,,Gym/Fitness,6,6,Closed,Yes,Yes,Unknown,4/2/2021,No,No,,14-2021,13-2021,2,,,,F22-1445 Records_Part1.pdf,,
26,27,FHA,,,"PITTMEADOWS",4/4/2021,5/3/2021,,,Farm/Agriculture,8,8,,No,No,Unknown,,No,No,,14-2021,,2,,,,F22-1445 Records_Part1.pdf,,
27,28,FHA,,,SURREY,4/4/2021,4/10/2021,,,Office,8,8,Closed,Yes,Yes,Unknown,4/4/2021,No,No,,14-2021,14-2021,2,,,,F22-1445 Records_Part1.pdf,,
28,29,NHA,,,Unknown,4/4/2021,4/26/2021,,,"Shelter/SRO/Congregate Housing",3,6,"Open (ifopen, reasonfor non-closure)",No,No,No,,Unknown,No,,14-2021,,2,,,,F22-1445 Records_Part1.pdf,,
29,30,NHA,,,Unknown,4/4/2021,4/26/2021,,,"Shelter/SRO/Congregate Housing",,11,"Open (ifopen, reasonfor non-closure)",No,No,No,,Unknown,No,,14-2021,,2,,,,F22-1445 Records_Part1.pdf,,
