,index,HA,workplace_name,workplace_address,city,date_cluster_confirmed_public_health,date_cluster_no_longer_active,earliest_reported_cases,latest_reported_cases,workplace_classification,cases_when_cluster_confirmed,total_cases,workplace_status,closure_y_n,closed_by_order,voluntary_closure,closure_date,partially_closed,unknown_closure_type,open,days_since_last_case,active_clusters,cluster_confirmed_epidate,doc_page_number,cluster_closed_epidate,file,flag,consolidated_status
9094,1.0,FHA,,,Surrey,2021-04-01,2021-04-17,,,Restaurant/Bar/Lounge,3.0,3.0,,No,,Unknown,,No,,No,,No,13-2021,1,,F22-1445 Records_Part1.pdf,,
9095,2.0,FHA,,,Langley,2021-04-01,2021-04-13,,,Other,8.0,8.0,,No,,Unknown,,No,,No,,No,13-2021,1,,F22-1445 Records_Part1.pdf,,
9096,3.0,FHA,,,Surrey,2021-04-01,2021-04-13,,,Restaurant/Bar/Lounge,4.0,4.0,Closed,Yes,,Unknown,2021-04-04,No,,No,,No,13-2021,1,14-2021,F22-1445 Records_Part1.pdf,,Closed
9097,4.0,FHA,,,Burnaby,2021-04-01,2021-04-21,,,Gym/Fitness,12.0,12.0,Closed,Yes,,Unknown,2021-04-07,No,,No,,No,13-2021,1,14-2021,F22-1445 Records_Part1.pdf,,Closed
9098,5.0,FHA,,,Burnaby,2021-04-01,2021-04-14,,,Restaurant/Bar/Lounge,5.0,5.0,Closed,Yes,,Unknown,2021-04-05,No,,No,,No,13-2021,1,14-2021,F22-1445 Records_Part1.pdf,,Closed
9099,6.0,FHA,,,Chilliwack,2021-04-01,2021-04-17,,,Maintenance/Trades/Construction,4.0,4.0,,No,,Unknown,,No,,No,,No,13-2021,1,,F22-1445 Records_Part1.pdf,,
9100,7.0,FHA,,,Coquitlam,2021-04-01,2021-04-14,,,Office,4.0,4.0,,No,,Unknown,,No,,No,,No,13-2021,1,,F22-1445 Records_Part1.pdf,,
9101,8.0,FHA,,,Delta,2021-04-01,2021-04-06,,,Transportation,4.0,4.0,,No,,Unknown,,No,,No,,No,13-2021,1,,F22-1445 Records_Part1.pdf,,
9102,9.0,FHA,,,Langley,2021-04-01,2021-04-30,,,Farm/Agriculture,50.0,50.0,,No,,Unknown,,No,,No,,No,13-2021,1,,F22-1445 Records_Part1.pdf,,
9103,10.0,FHA,,,Langley,2021-04-01,,,,Warehouse,26.0,26.0,,No,,Unknown,,No,,No,,No,13-2021,1,,F22-1445 Records_Part1.pdf,,
9104,11.0,FHA,,,Maple Ridge,2021-04-01,2021-04-18,,,Restaurant/Bar/Lounge,16.0,16.0,Closed,Yes,,Unknown,2021-04-06,No,,No,,No,13-2021,1,14-2021,F22-1445 Records_Part1.pdf,,Closed
