,index,HA,workplace_name,workplace_address,city,date_cluster_confirmed_public_health,date_cluster_no_longer_active,earliest_reported_cases,latest_reported_cases,workplace_classification,cases_when_cluster_confirmed,total_cases,workplace_status,closure_y_n,closed_by_order,voluntary_closure,closure_date,partially_closed,unknown_closure_type,open,days_since_last_case,active_clusters,cluster_confirmed_epidate,doc_page_number,cluster_closed_epidate,file,flag
9094,1,FHA,,,SURREY,2021-04-01,2021-04-17,,,"Restaurant/Bar/Lounge",3,3,,No,No,Unknown,,No,,No,,,13-2021,1,,F22-1445 Records_Part1.pdf,
9095,2,FHA,,,LANGLEY,2021-04-01,2021-04-13,,,Other,8,8,,No,No,Unknown,,No,,No,,,13-2021,1,,F22-1445 Records_Part1.pdf,
9096,3,FHA,,,SURREY,2021-04-01,2021-04-13,,,"Restaurant/Bar/Lounge",4,4,Closed,Yes,Yes,Unknown,2021-04-04,No,,No,,,13-2021,1,14-2021,F22-1445 Records_Part1.pdf,
9097,4,FHA,,,BURNABY,2021-04-01,2021-04-21,,,Gym/Fitness,12,12,Closed,Yes,Yes,Unknown,2021-04-07,No,,No,,,13-2021,1,14-2021,F22-1445 Records_Part1.pdf,
9098,5,FHA,,,BURNABY,2021-04-01,2021-04-14,,,"Restaurant/Bar/Lounge",5,5,Closed,Yes,Yes,Unknown,2021-04-05,No,,No,,,13-2021,1,14-2021,F22-1445 Records_Part1.pdf,
9099,6,FHA,,,CHILLIWACK,2021-04-01,2021-04-17,,,"Maintenance/Trades/Construction",4,4,,No,No,Unknown,,No,,No,,,13-2021,1,,F22-1445 Records_Part1.pdf,
9100,7,FHA,,,COQUITLAM,2021-04-01,2021-04-14,,,Office,4,4,,No,No,Unknown,,No,,No,,,13-2021,1,,F22-1445 Records_Part1.pdf,
9101,8,FHA,,,DELTA,2021-04-01,2021-04-06,,,Transportation,4,4,,No,No,Unknown,,No,,No,,,13-2021,1,,F22-1445 Records_Part1.pdf,
9102,9,FHA,,,LANGLEY,2021-04-01,2021-04-30,,,Farm/Agriculture,50,50,,No,No,Unknown,,No,,No,,,13-2021,1,,F22-1445 Records_Part1.pdf,
9103,10,FHA,,,LANGLEY,2021-04-01,,,,Warehouse,26,26,,No,No,Unknown,,No,,No,,,13-2021,1,,F22-1445 Records_Part1.pdf,
