,index,HA,workplace_name,workplace_address,city,date_cluster_confirmed_public_health,date_cluster_no_longer_active,earliest_reported_cases,latest_reported_cases,workplace_classification,cases_when_cluster_confirmed,total_cases,workplace_status,closure_y_n,closed_by_order,voluntary_closure,closure_date,partially_closed,unknown_closure_type,open,days_since_last_case,active_clusters,cluster_confirmed_epidate,doc_page_number,cluster_closed_epidate,file,flag
9094,1.0,fha,,,surrey,2021-04-01,2021-04-17,,,restaurant/bar/l ounge,3.0,3.0,,no,no,unknown,,no,,no,,,13-2021,,,f22-1445 records_part1.pdf,
9095,2.0,fha,,,langley,2021-04-01,2021-04-13,,,other,8.0,8.0,,no,no,unknown,,no,,no,,,13-2021,,,f22-1445 records_part1.pdf,
9096,3.0,fha,,,surrey,2021-04-01,2021-04-13,,,restaurant/bar/l ounge,4.0,4.0,closed,yes,yes,unknown,2021-04-04,no,,no,,,13-2021,,14-2021,f22-1445 records_part1.pdf,
9097,4.0,fha,,,burnaby,2021-04-01,2021-04-21,,,gym/fitness,12.0,12.0,closed,yes,yes,unknown,2021-04-07,no,,no,,,13-2021,,14-2021,f22-1445 records_part1.pdf,
9098,5.0,fha,,,burnaby,2021-04-01,2021-04-14,,,restaurant/bar/l ounge,5.0,5.0,closed,yes,yes,unknown,2021-04-05,no,,no,,,13-2021,,14-2021,f22-1445 records_part1.pdf,
9099,6.0,fha,,,chilliwack,2021-04-01,2021-04-17,,,maintenance/tr ades/constructio n,4.0,4.0,,no,no,unknown,,no,,no,,,13-2021,,,f22-1445 records_part1.pdf,
9100,7.0,fha,,,coquitlam,2021-04-01,2021-04-14,,,office,4.0,4.0,,no,no,unknown,,no,,no,,,13-2021,,,f22-1445 records_part1.pdf,
9101,8.0,fha,,,delta,2021-04-01,2021-04-06,,,transportation,4.0,4.0,,no,no,unknown,,no,,no,,,13-2021,,,f22-1445 records_part1.pdf,
9102,9.0,fha,,,langley,2021-04-01,2021-04-30,,,farm/agriculture,50.0,50.0,,no,no,unknown,,no,,no,,,13-2021,,,f22-1445 records_part1.pdf,
9103,10.0,fha,,,langley,2021-04-01,,,,warehouse,26.0,26.0,,no,no,unknown,,no,,no,,,13-2021,,,f22-1445 records_part1.pdf,
9104,11.0,fha,,,maple ridge,2021-04-01,2021-04-18,,,restaurant/bar/l ounge,16.0,16.0,closed,yes,yes,unknown,2021-04-06,no,,no,,,13-2021,,14-2021,f22-1445 records_part1.pdf,
9105,12.0,fha,,,mission,2021-04-01,2021-04-19,,,restaurant/bar/l ounge,4.0,4.0,closed,yes,yes,unknown,2021-04-01,no,,no,,,13-2021,,13-2021,f22-1445 records_part1.pdf,
9106,13.0,fha,,,surrey,2021-04-01,2021-04-23,,,gym/fitness,7.0,7.0,,no,no,unknown,,no,,no,,,13-2021,,,f22-1445 records_part1.pdf,
9107,14.0,fha,,,surrey,2021-04-01,2021-04-14,,,office,3.0,3.0,closed,yes,yes,unknown,2021-04-03,no,,no,,,13-2021,,13-2021,f22-1445 records_part1.pdf,
9108,15.0,fha,,,surrey,2021-04-01,2021-04-22,,,restaurant/bar/l ounge,9.0,9.0,closed,yes,yes,unknown,2021-04-12,no,,no,,,13-2021,,15-2021,f22-1445 records_part1.pdf,
9109,16.0,fha,,,abbotsford,2021-04-02,2021-04-19,,,gym/fitness,12.0,12.0,closed,yes,yes,unknown,2021-04-03,no,,no,,,13-2021,,13-2021,f22-1445 records_part1.pdf,
9110,17.0,fha,,,langley,2021-04-02,2021-04-24,,,personal care,4.0,4.0,,no,no,unknown,,no,,no,,,13-2021,,,f22-1445 records_part1.pdf,
9111,18.0,fha,,,burnaby,2021-04-02,2021-04-16,,,food processing,6.0,6.0,closed,yes,yes,unknown,2021-04-05,no,,no,,,13-2021,,,f22-1445 records_part1.pdf,
9112,19.0,fha,,,coquitlam,2021-04-02,2021-04-07,,,other,5.0,5.0,,no,no,unknown,,no,,no,,,13-2021,,,f22-1445 records_part1.pdf,
9113,20.0,fha,,,delta,2021-04-02,2021-04-10,,,office,3.0,3.0,,no,no,unknown,,no,,no,,,13-2021,,,f22-1445 records_part1.pdf,
9114,21.0,fha,,,langley,2021-04-02,2021-04-05,,,retail,4.0,4.0,,no,no,unknown,,no,,no,,,13-2021,,,f22-1445 records_part1.pdf,
9115,22.0,fha,,,langley,2021-04-02,2021-04-17,,,farm/agriculture,5.0,5.0,,no,no,unknown,,no,,no,,,13-2021,,,f22-1445 records_part1.pdf,
9116,23.0,fha,,,port coquitlam,2021-04-02,2021-04-18,,,first responder,3.0,3.0,,no,no,unknown,,no,,no,,,13-2021,,,f22-1445 records_part1.pdf,
9117,24.0,fha,,,surrey,2021-04-02,2021-04-18,,,retail,5.0,5.0,,no,no,unknown,,no,,no,,,13-2021,,,f22-1445 records_part1.pdf,
9118,25.0,fha,,,surrey,2021-04-02,2021-04-28,,,manufacturing/i ndustry,4.0,4.0,,no,no,unknown,,no,,no,,,13-2021,,,f22-1445 records_part1.pdf,
9119,26.0,fha,,,burnaby,2021-04-04,2021-04-22,,,gym/fitness,6.0,6.0,closed,yes,yes,unknown,2021-04-02,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9120,27.0,fha,,,pitt meadows,2021-04-04,2021-05-03,,,farm/agriculture,8.0,8.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9121,28.0,fha,,,surrey,2021-04-04,2021-04-10,,,office,8.0,8.0,closed,yes,yes,unknown,2021-04-04,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9122,29.0,nha,,,unknown,2021-04-04,2021-04-26,,,shelter/sro/con gregate housing,3.0,6.0,"open (if open, reason for non- closure)",no,no,no,,unknown,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9123,30.0,nha,,,unknown,2021-04-04,2021-04-26,,,shelter/sro/con gregate housing,,11.0,"open (if open, reason for non- closure)",no,no,no,,unknown,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9124,31.0,nha,,,unknown,2021-04-04,2021-04-26,,,shelter/sro/con gregate housing,,5.0,"open (if open, reason for non- closure)",no,no,no,,unknown,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9125,32.0,nha,,,nknown,2021-04-04,2021-05-05,,,health care facility (acute/ltc),,5.0,"open (if open, reason for non- closure)",no,no,no,,unknown,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9126,33.0,fha,,,elta,2021-04-05,2021-04-16,,,restaurant/bar/l ounge,4.0,4.0,closed,yes,yes,unknown,2021-04-07,no,,no,,,14-2021,,14-2021,f22-1445 records_part1.pdf,
9127,34.0,fha,,,bbotsford,2021-04-05,2021-04-21,,,warehouse,3.0,3.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9128,35.0,fha,,,urnaby,2021-04-05,2021-04-23,,,office,3.0,3.0,closed,yes,yes,unknown,2021-04-06,no,,no,,,14-2021,,14-2021,f22-1445 records_part1.pdf,
9129,36.0,fha,,,urnaby,2021-04-05,2021-05-07,,,manufacturing/i ndustry,12.0,12.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9130,37.0,fha,,,urnaby,2021-04-05,2021-04-24,,,manufacturing/i ndustry,4.0,4.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9131,38.0,fha,,,urnaby,2021-04-05,2021-04-21,,,other,9.0,9.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9132,39.0,fha,,,elta,2021-04-05,2021-04-21,,,food processing,5.0,5.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9133,40.0,fha,,,elta,2021-04-05,2021-05-21,,,food processing,9.0,9.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9134,41.0,fha,,,elta,2021-04-05,2021-04-21,,,restaurant/bar/l ounge,24.0,24.0,closed,yes,yes,unknown,2021-04-08,no,,no,,,14-2021,,14-2021,f22-1445 records_part1.pdf,
9135,42.0,fha,,,angley,2021-04-05,2021-04-19,,,manufacturing/i ndustry,4.0,4.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9136,43.0,fha,,,aple ridge,2021-04-05,2021-04-23,,,office,6.0,6.0,closed,yes,yes,unknown,2021-04-12,no,,no,,,14-2021,,15-2021,f22-1445 records_part1.pdf,
9137,44.0,fha,,,ort oquitlam,2021-04-05,2021-05-22,,,restaurant/bar/l ounge,9.0,9.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9138,45.0,fha,,,urrey,2021-04-05,2021-04-12,,,restaurant/bar/l ounge,4.0,4.0,closed,yes,yes,unknown,2021-04-05,no,,no,,,14-2021,,14-2021,f22-1445 records_part1.pdf,
9139,46.0,fha,,,urrey,2021-04-05,2021-04-13,,,office,4.0,4.0,closed,yes,yes,unknown,2021-04-06,no,,no,,,14-2021,,14-2021,f22-1445 records_part1.pdf,
9140,47.0,fha,,,urrey,2021-04-05,2021-04-18,,,office,6.0,6.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9141,48.0,fha,,,urrey,2021-04-05,2021-04-21,,,other,3.0,3.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9142,49.0,fha,,,surrey,2021-04-05,2021-04-15,,,restaurant/bar/l ounge,3.0,3.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9143,50.0,nha,,,unknown,2021-04-05,2021-04-13,,,manufacturing/i ndustry,,3.0,"open (if open, reason for non- closure)",no,no,no,,unknown,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9144,51.0,nha,,,unknown,2021-04-05,2021-04-20,,,shelter/sro/con gregate housing,,7.0,"open (if open, reason for non- closure)",no,no,no,,unknown,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9145,52.0,fha,,,surrey,2021-04-06,2021-04-16,,,retail,5.0,5.0,closed,yes,yes,unknown,2021-04-08,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9146,53.0,fha,,,langley,2021-04-06,2021-04-20,,,restaurant/bar/l ounge,3.0,3.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9147,54.0,fha,,,abbotsford,2021-04-06,2021-04-19,,,restaurant/bar/l ounge,5.0,5.0,closed,yes,yes,unknown,2021-04-06,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9148,55.0,fha,,,burnaby,2021-04-06,2021-04-24,,,retail,6.0,6.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9149,56.0,fha,,,delta,2021-04-06,2021-04-14,,,manufacturing/i ndustry,3.0,3.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9150,57.0,fha,,,delta,2021-04-06,2021-04-21,,,retail,4.0,4.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9151,58.0,fha,,,langley,2021-04-06,2021-04-30,,,manufacturing/i ndustry,5.0,5.0,,no,no,unknown,,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
9152,59.0,fha,,,new westminster,2021-04-06,2021-04-14,,,personal care,4.0,4.0,closed,yes,yes,unknown,2021-04-09,no,,no,,,14-2021,,,f22-1445 records_part1.pdf,
